851.45mm -48.93mm 2694.68mm
890.91mm -16.36mm 1540.41mm
892.93mm -15.97mm 1538.97mm
893.81mm -14.7mm 1537.64mm
895.07mm -13.89mm 1536.38mm
896.22mm -13.62mm 1535.78mm
898.1mm -12.41mm 1539.03mm
899.16mm -11.98mm 1541.01mm
900.61mm -10.77mm 1537.5mm
901.35mm -9.33mm 1534.99mm
902.49mm -7.6mm 1532.85mm
904.15mm -7.26mm 1532.18mm
906.71mm -7.39mm 1534.44mm
907.64mm -6.58mm 1535.3mm
908.91mm -4.65mm 1532.02mm
909.67mm -4.24mm 1529.72mm
910.91mm -3.25mm 1528.7mm
912.23mm -2.21mm 1528.46mm
914.22mm -1.54mm 1529.65mm
914.84mm -0.99mm 1529.85mm
915.72mm 0.06mm 1528.43mm
916.1mm 1.41mm 1527.33mm
916.69mm 3.52mm 1525.87mm
918.44mm 4.3mm 1526.04mm
921.16mm 5.32mm 1528.65mm
921.88mm 6.34mm 1529.47mm
922.85mm 7.57mm 1528.61mm
923.2mm 8mm 1527.76mm
923.78mm 9.6mm 1526.74mm
925.37mm 10.52mm 1527.08mm
927.85mm 10.96mm 1530.58mm
927.84mm 11.97mm 1531.53mm
927.71mm 13.18mm 1530.9mm
928.44mm 13.52mm 1531.15mm
